bucket,count,median,mean,std,feature,engagement_metric,pct_change_from_baseline
4+,202,160.655,1373.1571287128713,3054.845544999235,artists_count,reactions_per_month,24.44229279628193
0,23128,80.71,339.6151850570737,1373.4730487074416,camera_composition_count,likes_per_month,0.0
1,3601,87.78,424.78979727853374,1568.0464490650231,camera_composition_count,likes_per_month,8.759757155247192
2-3,1978,105.495,565.3773710819008,1933.0590731712293,camera_composition_count,likes_per_month,30.708710197001626
4+,393,186.54,775.8349872773538,2092.8837271257844,camera_composition_count,likes_per_month,131.1237764837071
0,23128,123.13,512.8338983050847,2044.317755420236,camera_composition_count,reactions_per_month,0.0
1,3601,132.54,636.0256123299083,2308.920005380019,camera_composition_count,reactions_per_month,7.642329245512871
2-3,1978,159.04500000000002,844.4558998988878,2864.358996016458,camera_composition_count,reactions_per_month,29.16835864533422
4+,393,276.0,1142.678727735369,3092.291369721571,camera_composition_count,reactions_per_month,124.15333387476653
0,23855,81.64,352.0965172919723,1414.2801512746987,lighting_color_count,likes_per_month,0.0
1,3433,85.98,384.10936498689193,1417.270797397716,lighting_color_count,likes_per_month,5.316021558059779
2-3,1459,100.63,584.7115010281015,2054.6155146197875,lighting_color_count,likes_per_month,23.260656540911313
4+,353,216.73,669.9821529745043,1587.8437918653199,lighting_color_count,likes_per_month,165.47035766780988
0,23855,125.0,531.7979874240201,2104.212847697601,lighting_color_count,reactions_per_month,0.0
1,3433,129.47,574.0390795222837,2103.1119515566575,lighting_color_count,reactions_per_month,3.575999999999999
2-3,1459,150.77,867.8299588759423,3022.612408255083,lighting_color_count,reactions_per_month,20.61600000000001
4+,353,308.21,984.918073654391,2285.627367212642,lighting_color_count,reactions_per_month,146.56799999999998
0,16671,77.14,327.81992981824726,1372.3180822979084,quality_boosters_count,likes_per_month,0.0
1,3628,77.58500000000001,303.6770562293275,1180.9698102771017,quality_boosters_count,likes_per_month,0.5768732175265846
2-3,5948,98.265,410.8155178211164,1401.3246176577888,quality_boosters_count,likes_per_month,27.385273528649208
4+,2853,118.56,629.9160672975815,2165.733023114663,quality_boosters_count,likes_per_month,53.69458128078818
0,16671,118.32,497.30018835102874,2049.6306597455327,quality_boosters_count,reactions_per_month,0.0
1,3628,117.015,457.71066427783904,1773.4213822129136,quality_boosters_count,reactions_per_month,-1.102941176470582
2-3,5948,146.7,614.1759751176867,2068.4570344899275,quality_boosters_count,reactions_per_month,23.98580121703854
4+,2853,175.1,934.585597616544,3176.4766907392304,quality_boosters_count,reactions_per_month,47.98850574712644
0,21087,82.3,359.6338767961303,1454.8422884484398,style_codes_count,likes_per_month,0.0
1,2871,85.85,371.33102055033095,1443.3980752285286,style_codes_count,likes_per_month,4.3134872417982955
2-3,2964,72.985,331.0220580296896,1282.9412939133647,style_codes_count,likes_per_month,-11.318347509112998
4+,2178,117.89,540.251308539945,1687.564369378937,style_codes_count,likes_per_month,43.244228432563794
0,21087,126.48,543.8592526200977,2163.63209320828,style_codes_count,reactions_per_month,0.0
1,2871,130.12,554.4001184256357,2131.201827990507,style_codes_count,reactions_per_month,2.877925363693865
2-3,2964,110.33500000000001,497.81771255060727,1928.1828593496537,style_codes_count,reactions_per_month,-12.764864010120174
4+,2178,171.305,796.594416896235,2469.760432378446,style_codes_count,reactions_per_month,35.44038583175206
0,20528,82.57499999999999,367.30376461418547,1464.0376489625855,style_modifiers_count,likes_per_month,0.0
1,4167,83.2,350.0816270698344,1352.7483513956142,style_modifiers_count,likes_per_month,0.7568876778686215
2-3,3305,87.81,386.18646293494703,1470.5650219478168,style_modifiers_count,likes_per_month,6.339691189827447
4+,1100,98.775,483.9632454545454,1644.6530403329857,style_modifiers_count,likes_per_month,19.618528610354247
0,20528,126.725,554.9324683359315,2177.8678500361466,style_modifiers_count,reactions_per_month,0.0
1,4167,125.94,528.8475209983202,2035.7440432024935,style_modifiers_count,reactions_per_month,-0.6194515683566753
2-3,3305,130.59,574.4625113464448,2158.0048669600264,style_modifiers_count,reactions_per_month,3.049911225093714
4+,1100,146.96499999999997,705.9974636363636,2363.1978300289484,style_modifiers_count,reactions_per_month,15.971592029986176
0,8785,89.34,427.8498816163916,1612.852309096826,subjects_count,likes_per_month,0.0
1,7393,80.95,324.39146084133637,1166.6017684169205,subjects_count,likes_per_month,-9.391090217147974
2-3,6675,78.29,307.95666966292134,1166.6466123253847,subjects_count,likes_per_month,-12.368479964181773
4+,6247,86.38,415.4009284456539,1775.0018383914553,subjects_count,likes_per_month,-3.313185583165444
0,8785,135.83,642.3303790552077,2389.871300640264,subjects_count,reactions_per_month,0.0
1,7393,125.78,492.4159488705532,1743.6479712658481,subjects_count,reactions_per_month,-7.398954575572414
2-3,6675,119.81,466.8821303370787,1749.038914755092,subjects_count,reactions_per_month,-11.794154457778111
4+,6247,128.89,619.62789018729,2622.1670299281022,subjects_count,reactions_per_month,-5.10932783626594
