metric,feature_combination,count,median_engagement,mean_engagement,std_engagement,percentile_rank
reactions_per_month,Actions + Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Style Modifiers + Subjects,17,1547.21,6494.817647058824,10575.152475188648,94.02061855670102
reactions_per_month,Actions + Artists + Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Subjects,16,1541.0149999999999,2908.125,3991.0076347787785,94.0
reactions_per_month,Camera + Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Subjects,22,1525.975,4276.961818181819,6940.69158214055,93.95189003436425
reactions_per_month,Actions + Camera + Parameter Weights + Subjects,21,1516.36,2055.949047619047,1237.9426659310304,93.90378006872852
reactions_per_month,Actions + Lighting + Parameter Weights + Style Modifiers + Subjects,24,1453.17,3592.4120833333327,5363.678648030798,93.57731958762886
reactions_per_month,Actions + Lighting + Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Style Modifiers + Subjects,14,1426.45,2834.2335714285714,4122.63091516918,93.42611683848797
reactions_per_month,Artists + Camera + Lighting + Parameter Weights + Quality + Style Codes + Style Modifiers + Subjects,16,1421.505,1739.88375,817.6254417203745,93.4020618556701
reactions_per_month,Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Subjects,24,1410.135,1989.4104166666666,1898.4668655950586,93.35051546391752
reactions_per_month,Actions + Camera + Negative Prompts + Negative Terms + Parameter Weights + Style Codes + Style Modifiers + Subjects,12,1383.355,2445.2816666666663,2258.2818212335433,93.2508591065292
reactions_per_month,Lighting + Parameter Weights + Quality + Style Codes + Style Modifiers + Subjects,11,1376.67,2446.9809090909093,2088.082358343762,93.20962199312714
reactions_per_month,Camera + Lighting + Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Style Modifiers + Subjects,40,1358.635,3509.05625,4854.517046007094,93.0893470790378
reactions_per_month,Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Modifiers + Subjects,11,1286.25,2837.182727272727,3765.884483175212,92.6512027491409
reactions_per_month,Camera + Lighting + Parameter Weights + Style Codes + Style Modifiers + Subjects,10,1220.3,1737.0099999999998,1138.0170248550767,92.24398625429554
reactions_per_month,Lighting + Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Subjects,17,1218.57,3549.1494117647057,5626.752869572364,92.21993127147766
