feature,threshold,threshold_value,point_biserial_r,point_biserial_p,spearman_r,spearman_p,abs_correlation,success_rate
quality_boosters_count,top_50_percent,128.05,0.07606263098530605,1.330527103059256e-38,0.07069184999499514,1.454191261853728e-33,0.07606263098530605,0.5
camera_composition_count,top_50_percent,128.05,0.05548671822384868,2.739694213123623e-21,0.03410040252351282,5.936559254763372e-09,0.05548671822384868,0.5
negative_word_count,top_50_percent,128.05,0.04888629398212671,7.181438543950504e-17,0.031524085266628116,7.502069304632733e-08,0.04888629398212671,0.5
has_quality_boosters,top_50_percent,128.05,0.04783554368205421,3.228879855545901e-16,0.0478355436820542,3.2288798555452674e-16,0.04783554368205421,0.5
actions_verbs_count,top_50_percent,128.05,0.045859408459709844,5.004018538771055e-15,0.039592348836810856,1.4155275627134213e-11,0.045859408459709844,0.5
has_subjects,top_50_percent,128.05,-0.03693669065396028,2.923020828303615e-10,-0.03693669065396027,2.923020828304223e-10,0.03693669065396028,0.5
lighting_color_count,top_50_percent,128.05,0.03592398138314976,8.794130799682135e-10,0.011146800997919605,0.05723927536823098,0.03592398138314976,0.5
has_artists,top_50_percent,128.05,-0.034168260123636426,5.538740674807529e-09,-0.03416826012363642,5.538740674808198e-09,0.034168260123636426,0.5
style_codes_count,top_50_percent,128.05,0.03160564242850418,6.9432204662159e-08,0.0003946788356185906,0.9463235510400123,0.03160564242850418,0.5
has_actions_verbs,top_50_percent,128.05,0.03047317029331535,2.0002159894526962e-07,0.03047317029331533,2.0002159894530948e-07,0.03047317029331535,0.5
artists_count,top_50_percent,128.05,-0.021184792101825885,0.000301386761274203,-0.03465327413735575,3.3607999778627594e-09,0.021184792101825885,0.5
style_modifiers_count,top_50_percent,128.05,0.019803379901408652,0.0007291167571956321,0.01274401197835768,0.029708103575135602,0.019803379901408652,0.5
has_camera_composition,top_50_percent,128.05,0.019700694457994182,0.0007769780819464272,0.019700694457994175,0.000776978081946571,0.019700694457994182,0.5
has_negative,top_50_percent,128.05,0.014740973290847281,0.011915051460710487,0.014740973290847297,0.01191505146071037,0.014740973290847281,0.5
has_style_codes,top_50_percent,128.05,-0.014304253701693815,0.01468145313373674,-0.01430425370169381,0.014681453133736408,0.014304253701693815,0.5
has_weights,top_50_percent,128.05,0.012625735823545176,0.03125723215276287,0.012625735823545174,0.03125723215276041,0.012625735823545176,0.5
has_style_modifiers,top_50_percent,128.05,0.008770842912622607,0.13461242839170096,0.008770842912622612,0.13461242839169882,0.008770842912622607,0.5
subjects_count,top_50_percent,128.05,-0.00836898253808017,0.15340554148554691,-0.020214083835567453,0.0005637750655148668,0.00836898253808017,0.5
has_lighting_color,top_50_percent,128.05,-0.002501121293086978,0.6696403415161551,-0.0025011212930869803,0.6696403415161418,0.002501121293086978,0.5
